"Category";"Topic";"URL";"Question 1";"Question 2";"Question 3";"Question 4";"Question 5";"Question 6";"Question 7";"Question 8";"Question 9";"Link history of prev results";"Status";"Template";"Comment"
"Culture";"art";"/content/categories/culture/art/events/bali-arts-festival.html";"Location";"Weather";"Programme";"Tickets";"Opening hours";"Highlights";"Indoor backup";"";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"art";"/content/categories/culture/art/events/burning-man.html";"Location";"Weather";"Programme";"Tickets";"Opening hours";"Highlights";"Indoor backup";"";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"art";"/content/categories/culture/art/events/medellin-flower-festival.html";"Location";"Weather";"Programme";"Tickets";"Opening hours";"Highlights";"Indoor backup";"";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"art";"/content/categories/culture/art/events/vivid-sydney.html";"Location";"Weather";"Programme";"Tickets";"Opening hours";"Highlights";"Indoor backup";"";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"awards";"/content/categories/culture/awards/events/grammy-awards.html";"Location";"Nominees";"Red carpet";"Ceremony time";"Winners";"Streaming";"Afterparty";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Culture";"awards";"/content/categories/culture/awards/events/oscars.html";"Location";"Nominees";"Red carpet";"Ceremony time";"Winners";"Streaming";"Afterparty";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Culture";"carnival";"/content/categories/culture/carnival/events/calabar-carnival.html";"Location";"Weather";"Parade route";"Programme";"Tickets";"Family rules";"Transport";"Highlights";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"carnival";"/content/categories/culture/carnival/events/calgary-stampede.html";"Location";"Weather";"Parade route";"Programme";"Tickets";"Family rules";"Transport";"Highlights";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"fashion";"/content/categories/culture/fashion/events/met-gala.html";"Location";"Theme";"Guest list";"Red carpet";"Tickets";"Streaming";"Looks";"Highlights";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Culture";"film";"/content/categories/culture/film/events/cairo-international-film-festival.html";"Location";"Programme";"Tickets";"Red carpet";"Screenings";"Awards";"Streaming";"Highlights";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
